id_synthese,date_debut,date_fin,heure_debut,heure_fin,nom_vernaculaire,nombre_min,observateurs,determinateur,x_centroid_4326,y_centroid_4326,nom_lieu,champs_additionnels
1663,1998-09-04,1998-09-04,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.513924,43.31823,GB5,ComptageHebdo
7611,2000-07-28,2000-07-28,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.504753,43.317065,GB6,ComptageHebdo
15836,2000-06-23,2000-06-23,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.504753,43.317065,GB6,ComptageHebdo
21004,2002-05-31,2002-05-31,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.517349,43.329164,GB1,ComptageHebdo
21559,2003-08-07,2003-08-07,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.517349,43.329164,GB1,ComptageHebdo
22741,2003-08-14,2003-08-14,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.504753,43.317065,GB6,ComptageHebdo
22742,2003-07-10,2003-07-10,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.504753,43.317065,GB6,ComptageHebdo
23965,2004-07-08,2004-07-08,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.515793,43.324984,GB4,ComptageHebdo
24526,2001-07-19,2001-07-19,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.505618,43.320295,GB7,ComptageHebdo
25109,2001-07-19,2001-07-19,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.523936,43.325743,GB2,ComptageHebdo
25669,2001-07-27,2001-07-27,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.517349,43.329164,GB1,ComptageHebdo
25670,2003-07-10,2003-07-10,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.50753,43.324884,GB8,ComptageHebdo
26880,2004-07-08,2004-07-08,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.517349,43.329164,GB1,ComptageHebdo
27448,2003-07-17,2003-07-17,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.50753,43.324884,GB8,ComptageHebdo
28059,2004-07-28,2004-07-28,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.504753,43.317065,GB6,ComptageHebdo
28672,2003-06-27,2003-06-27,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.513924,43.31823,GB5,ComptageHebdo
28673,2002-07-26,2002-07-26,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.50753,43.324884,GB8,ComptageHebdo
28674,2002-08-02,2002-08-02,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.513924,43.31823,GB5,ComptageHebdo
32702,2003-07-10,2003-07-10,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.515793,43.324984,GB4,ComptageHebdo
33268,2003-04-24,2003-04-24,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.50753,43.324884,GB8,ComptageHebdo
34420,2002-07-12,2002-07-12,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.517349,43.329164,GB1,ComptageHebdo
34421,2004-07-08,2004-07-08,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.50753,43.324884,GB8,ComptageHebdo
35038,2002-08-02,2002-08-02,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.517349,43.329164,GB1,ComptageHebdo
35613,2001-08-08,2001-08-08,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.517349,43.329164,GB1,ComptageHebdo
38632,2007-08-09,2007-08-09,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.523936,43.325743,GB2,ComptageHebdo
39254,2007-07-26,2007-07-26,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.517349,43.329164,GB1,ComptageHebdo
41110,2010-07-09,2010-07-09,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.523936,43.325743,GB2,ComptageHebdo
41111,2007-07-19,2007-07-19,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.504753,43.317065,GB6,ComptageHebdo
41112,2006-07-13,2006-07-13,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.513924,43.31823,GB5,ComptageHebdo
42295,2008-06-06,2008-06-06,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.517349,43.329164,GB1,ComptageHebdo
42902,2006-07-27,2006-07-27,00:00:00,00:00:00,"Blongios nain, Butor blongios",2,ADENA,ADENA,3.513924,43.31823,GB5,ComptageHebdo
43516,2007-07-26,2007-07-26,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.504753,43.317065,GB6,ComptageHebdo
44744,2007-06-22,2007-06-22,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.517349,43.329164,GB1,ComptageHebdo
44745,2007-07-19,2007-07-19,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.517349,43.329164,GB1,ComptageHebdo
44746,2006-08-17,2006-08-17,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.504753,43.317065,GB6,ComptageHebdo
44747,2006-06-29,2006-06-29,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.515793,43.324984,GB4,ComptageHebdo
45338,2008-07-31,2008-07-31,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.517349,43.329164,GB1,ComptageHebdo
45980,2006-06-22,2006-06-22,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.50753,43.324884,GB8,ComptageHebdo
45981,2006-06-29,2006-06-29,00:00:00,00:00:00,"Blongios nain, Butor blongios",1,ADENA,ADENA,3.523936,43.325743,GB2,ComptageHebdo
