Station;Date Releve;Heure;Num Releve;Conductivite;Salinite;Comm Salinite;Temperature;Ph;Redox;Oxygene;Saturation;Niveau Ngf;Comm Ngf;Niveau Relatif;Niveau 0;Turbidite;Couleur;Macrophyte;Remarques
Etangs du Grand Bagnas - canal du midi martelliere;10/12/2025;08:37;;0.408;0;;12.1;;;5.37;48.7;;;-0.55;;5;;;vent faible de sud
Etangs du Grand Bagnas - EID Piezo;10/12/2025;09:11;;25.2;15;;12.5;;;;;;;0.64;;;;;vent faible de sud
Etangs du Grand Bagnas - EID;10/12/2025;09:11;;2.06;0.9;;12.6;;;1.46;13.6;;;0.21;;10;;;vent faible de sud
Etangs du Grand Bagnas - echelleGB2piezo;10/12/2025;09:28;;35.9;22;;13;;;;;;;0.35;;;;;vent faible de sud
Etangs du Grand Bagnas - echelleGB2;10/12/2025;09:28;;7.87;4.3;;12.8;;;3.12;29.2;;;0.44;;40;;;vent faible de sud
Etangs du Grand Bagnas - TB5 centre piezo;10/12/2025;09:46;;19.79;11.6;;13;;;;;;;0.46;;;;;vent faible de sud
Etangs du Grand Bagnas - TB5 centre;10/12/2025;09:46;;8.43;4.6;;12.7;;;3.16;29.5;0.39;;;;40;;;vent faible de sud
Etangs du Grand Bagnas - Petit Pont;10/12/2025;10:02;;17.81;10.3;;12.2;;;4.26;39.1;0.26;;;;20;;;vent faible de sud
Etangs du Grand Bagnas - Canal de l'ouest;10/12/2025;10:02;;3.11;1.5;;11.4;;;4.51;40.8;;;1.57;;20;;;vent faible de sud
Etangs du Grand Bagnas - LONGE;10/12/2025;10:18;;0.701;0.1;;11.5;;;3.52;32;0.59;;;;5;;;vent faible de sud
Etangs du Grand Bagnas - MareB5roseau piezo;10/12/2025;10:32;;56.9;0.37;;12.8;;;;;;;0.61;;;;;vent faible de sud
Etangs du Grand Bagnas - MareB5roseau;10/12/2025;10:32;;3.92;2;;12.8;;;4.65;43.4;;;0.55;;10;;;vent faible de sud
Etangs du Grand Bagnas - Scirpaie GB8 piezo;10/12/2025;10:40;;44.9;28.4;;13;;;;;;;0.34;;;;;vent faible de sud
Etangs du Grand Bagnas - Scirpaie GB8;10/12/2025;10:40;;9.29;5.1;;13;;;3.49;32.8;0.4;;0.4;;20;;;vent faible de sud
Etangs du Grand Bagnas - Pioch couguioul;10/12/2025;10:58;;2.37;1;;11.5;;;2.63;23.8;0.57;;;;40;;;vent faible de sud
Etangs du Grand Bagnas - Pairollet Piezo;10/12/2025;11:11;;71.9;48.6;;13.7;;;;;;;0.465;;;;;vent faible de sud
Etangs du Grand Bagnas - Pairollet;10/12/2025;11:11;;28.9;17.5;;13.6;;;4.03;38.4;0.43;;;;5;;;vent faible de sud
Etangs du Grand Bagnas - PB3 Piezo;10/12/2025;11:28;;155.8;;OFL;14.2;;;;;;;0.59;;;;;vent faible de sud
Etangs du Grand Bagnas - PB3;10/12/2025;11:28;;59.8;39.3;;14;;;4.66;44.8;0.23;;;;50;;;vent faible de sud
Etangs du Grand Bagnas - Rieu nord piezo;10/12/2025;11:39;;104.3;;OFL;14.2;;;;;;;0.87;;;;;vent faible de sud
Etangs du Grand Bagnas - Rieu nord;10/12/2025;11:39;;41.6;26.1;;14.1;;;4.67;45;0.25;;;;10;;;vent faible de sud
Etangs du Grand Bagnas - PB4 piezo;10/12/2025;11:55;;122.4;;OFL;14.4;;;;;;;0.76;;;;;vent faible de sud
Etangs du Grand Bagnas - PB4;10/12/2025;11:55;;48.9;31.3;;14.2;;;4.55;44;0.31;;;;10;;;vent faible de sud
Etangs du Grand Bagnas - Mare pelo - 3 piezo;10/12/2025;13:35;;1.906;0.8;;13.7;;;;;;;0.91;;;;;vent faible de sud
Etangs du Grand Bagnas - Mare pelo - 3;10/12/2025;13:35;;1.6;0.6;;13.9;;;3.89;37.4;0.53;;;;5;;;vent faible de sud
Etangs du Grand Bagnas - Mare pelo Piezo;10/12/2025;13:47;;43.2;27.2;;14.3;;;;;;;0.61;;;;;vent faible de sud
Etangs du Grand Bagnas - Mare aux pelobates;10/12/2025;13:47;;44.9;28.4;;14.2;;;6.1;58.9;0.39;;;;75;;;vent faible de sud
Etangs du Grand Bagnas - canal du midi martelliere;26/11/2025;08:41;;0.399;0;;8;;;5.05;42.8;;;-0.44;;10;;;vent fort de nord-ouest
Etangs du Grand Bagnas - EID Piezo;26/11/2025;09:03;;26;15.4;;8.9;;;;;;;0.59;;;;;vent fort de nord-ouest
Etangs du Grand Bagnas - EID;26/11/2025;09:03;;1.96;0.8;;6.6;;;2.43;19.5;;;0.245;;10;;;vent fort de nord-ouest
Etangs du Grand Bagnas - echelleGB2piezo;26/11/2025;09:16;;36.7;22.3;;7.4;;;;;;;0.36;;;;;vent fort de nord-ouest
Etangs du Grand Bagnas - echelleGB2;26/11/2025;09:16;;7.79;4.2;;6;;;4.99;39.5;;;0.43;;200;;;vent fort de nord-ouest
Etangs du Grand Bagnas - TB5 centre piezo;26/11/2025;09:27;;17.27;9.8;;6.2;;;;;;;0.495;;;;;vent fort de nord-ouest
Etangs du Grand Bagnas - TB5 centre;26/11/2025;09:27;;8.43;4.5;;6.2;;;5.02;43;0.36;;;;200;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Petit Pont;26/11/2025;09:42;;;;;;;;;;0.15;;;;;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Canal de l'ouest;26/11/2025;09:43;;0.395;0;;7.9;;;4.91;41.3;;;1.54;;10;;;vent fort de nord-ouest
Etangs du Grand Bagnas - LONGE;26/11/2025;09:56;;0.448;0;;7.5;;;4.67;38.7;0.64;;;;10;;;vent fort de nord-ouest
Etangs du Grand Bagnas - MareB5roseau piezo;26/11/2025;10:14;;57.5;37.2;;9.9;;;;;;;0.63;;;;;vent fort de nord-ouest
Etangs du Grand Bagnas - MareB5roseau;26/11/2025;10:16;;3.66;1.8;;7.2;;;5.2;42.5;;;0.51;;20;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Scirpaie GB8 piezo;26/11/2025;10:25;;43.9;27.8;;7.7;;;;;;;0.38;;;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Scirpaie GB8;26/11/2025;10:25;;9.1;4.9;;6.3;;;4.47;35.8;0.36;;0.36;;20;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Pioch couguioul;26/11/2025;10:40;;2.41;1.1;;7.1;;;4.68;37.9;0.62;;;;20;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Pairollet Piezo;26/11/2025;10:52;;71.9;48.2;;9.9;;;;;;;0.485;;;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Pairollet;26/11/2025;10:52;;30.5;18.7;;7.6;;;4.85;40;0.41;;;;5;;;vent fort de nord-ouest
Etangs du Grand Bagnas - PB3 Piezo;26/11/2025;11:08;;155.2;;OFL;7.6;;;;;;;0.575;;;;;vent fort de nord-ouest
Etangs du Grand Bagnas - PB3;26/11/2025;11:08;;60.3;39.1;;6.8;;;5.82;46.9;0.23;;;;30;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Rieu nord piezo;26/11/2025;11:16;;108.9;;OFL;10.1;;;;;;;0.86;;;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Rieu nord;26/11/2025;11:16;;56.9;36.5;;7;;;5.66;45.9;0.18;;;;30;;;vent fort de nord-ouest
Etangs du Grand Bagnas - PB4 piezo;26/11/2025;11:31;;125.3;;OFL;8.7;;;;;;;0.78;;;;;vent fort de nord-ouest
Etangs du Grand Bagnas - PB4;26/11/2025;11:31;;50.2;31.7;;6.7;;;5.75;46.7;0.31;;;;30;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Mare pelo - 3 piezo;26/11/2025;11:58;;2.61;1.2;;9.3;;;;;;;0.93;;;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Mare pelo - 3;26/11/2025;11:58;;1.852;0.7;;7.8;;;3.92;32.8;0.5;;;;5;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Mare pelo Piezo;26/11/2025;12:08;;43.6;27.3;;9.6;;;;;;;0.68;;;;;vent fort de nord-ouest
Etangs du Grand Bagnas - Mare aux pelobates;26/11/2025;12:08;;50.6;32.1;;7.6;;;5.21;43.2;0.3;;;;200;;;vent fort de nord-ouest
Etangs du Grand Bagnas - canal du midi martelliere;10/11/2025;08:36;;0.732;0.1;;13.8;;;3.65;34;;;-0.07;;10;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - EID Piezo;10/11/2025;08:56;;25.2;15;;11.8;;;;;;;0.53;;;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - EID;10/11/2025;08:56;;1.907;0.8;;10.8;;;1.64;14.6;;;0.24;;30;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - echelleGB2piezo;10/11/2025;09:08;;35.9;22.1;;12.5;;;;;;;0.4;;;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - echelleGB2;10/11/2025;09:08;;7.26;3.9;;11.5;;;3.73;33.2;;;0.41;;50;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - TB5 centre piezo;10/11/2025;09:18;;15.38;8.8;;11.7;;;;;;;0.53;;;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - TB5 centre;10/11/2025;09:18;;8.72;4.8;;11.7;;;3.44;31.2;0.36;;;;100;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Petit Pont;10/11/2025;09:29;;8.32;4.5;;12.6;;;2.78;25.5;0.25;;;;20;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Canal de l'ouest;10/11/2025;09:29;;1.414;0.6;;12.7;;;2.8;27;;;1.55;;20;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - LONGE;10/11/2025;09:41;;1.444;0.5;;12.3;;;1.93;17.9;0.63;;;;30;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - MareB5roseau piezo;10/11/2025;09:56;;57.1;37.3;;13.9;;;;;;;0.66;;;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - MareB5roseau;10/11/2025;09:56;;2.09;0.9;;12;;;3.66;33.5;;;0.43;;20;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Scirpaie GB8 piezo;10/11/2025;10:02;;43.8;27.6;;13.2;;;;;;;0.33;;;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Scirpaie GB8;10/11/2025;10:02;;7.24;3.9;;12.1;;;2.9;26.1;0.36;;0.37;;5;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Pioch couguioul;10/11/2025;10:27;;2.84;1.3;;12.7;;;3.02;27.8;0.6;;;;100;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Pairollet Piezo;10/11/2025;10:28;;71.3;48.3;;16.9;;;;;;;0.56;;;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Pairollet;10/11/2025;10:28;;70.8;48.1;;17;;;2.85;28.3;0.43;;;;5;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - PB3 Piezo;10/11/2025;10:55;;145;;OFL;12.9;;;;;;;0.55;;;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - PB3;10/11/2025;10:55;;45.2;28.7;;12;;;4.55;41.5;0.25;;;;20;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Rieu nord piezo;10/11/2025;11:05;;93.6;66.5;;15.3;;;;;;;0.91;;;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Rieu nord;10/11/2025;11:05;;52.7;33.4;;14.9;;;4.44;43.5;0.24;;;;5;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - PB4 piezo;10/11/2025;11:35;;129.3;;OFL;14.8;;;;;;;0.75;;;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - PB4;10/11/2025;11:35;;36.9;23;;12.6;;;4.25;39.4;0.33;;;;30;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Mare pelo - 3 piezo;10/11/2025;13:30;;2.15;0.9;;13.9;;;;;;;0.82;;;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Mare pelo - 3;10/11/2025;13:30;;1.19;0.4;;13.4;;;3.21;30.4;0.6;;;;5;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Mare pelo Piezo;10/11/2025;13:48;;39.9;25.2;;17;;;;;;;0.7;;;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - Mare aux pelobates;10/11/2025;13:48;;34.1;21.1;;14.6;;;6.48;62.3;0.27;;;;75;;;vent nul_ 75 mm de pluie le 07/11/2025
Etangs du Grand Bagnas - canal du midi martelliere;28/10/2025;08:44;;1.046;0.3;;15.4;;;3.05;30.3;;;-0.18;;10;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - EID Piezo;28/10/2025;09:15;;25.3;15.2;;15.1;;;;;;;0.54;;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - EID;28/10/2025;09:15;;1.792;0.7;;13.2;;;1.07;10;;;0.31;;10;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - echelleGB2piezo;28/10/2025;09:31;;37.02;23;;13.9;;;;;;;0.5;;;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
Etangs du Grand Bagnas - echelleGB2;28/10/2025;09:31;;7.24;3.9;;12.4;;;3.56;33.1;;;0.28;;200;;;vent faible de nord-ouest_ vent fort de nord-ouest les jours précédents
