id_synthese;date_debut;date_fin;heure_debut;heure_fin;cd_nom;cd_ref;nom_valide;nom_vernaculaire;nom_cite;regne;group1_inpn;group2_inpn;group3_inpn;classe;ordre;famille;rang_taxo;nombre_min;nombre_max;alti_min;alti_max;prof_min;prof_max;observateurs;determinateur;communes;geometrie_wkt_4326;x_centroid_4326;y_centroid_4326;nom_lieu;comment_releve;comment_occurrence;validateur;niveau_validation;date_validation;comment_validation;preuve_numerique_url;preuve_non_numerique;jdd_nom;jdd_uuid;jdd_id;ca_nom;ca_uuid;ca_id;cd_habref;cd_habitat;nom_habitat;precision_geographique;nature_objet_geo;type_regroupement;methode_regroupement;technique_observation;biologique_statut;etat_biologique;biogeographique_statut;naturalite;preuve_existante;niveau_precision_diffusion;stade_vie;sexe;objet_denombrement;type_denombrement;niveau_sensibilite;statut_observation;floutage_dee;statut_source;type_info_geo;methode_determination;comportement;reference_biblio;id_origine;uuid_perm_sinp;uuid_perm_grp_sinp;date_creation;date_modification;champs_additionnels
1663;04/09/1998;04/09/1998;00:00:00;00:00:00;2477;2477;Ixobrychus minutus (Linnaeus, 1766);Blongios nain, Butor blongios;Ixobrychus minutus (Linnaeus, 1766);Animalia;Chordés;Oiseaux;Autres;Aves;Pelecaniformes;Ardeidae;SSES;1;;0;0;;;ADENA;ADENA;Agde;POINT(3.5139239 43.3182299);3.5139239;43.3182299;GB5;;;;;;La nébulosité change en Ciel couvert, la visibilité n'est plus Bonne. Comptage total.;;;serena_bagnas;10e11051-100c-4bce-9486-a06c7a19b2d6;15;ADENA Bagnas;d9d88ed6-ad45-4244-b745-de1a8dbba630;7;;;;;;;;;;;;;;;;;;;Non sensible - Diffusion précise;;;;;;;;13210;76cbf529-43b7-44da-9d5e-10cbc7fc4145;;22/03/2023 15:50;21/01/2025 17:31;ComptageHebdo
7611;28/07/2000;28/07/2000;00:00:00;00:00:00;2477;2477;Ixobrychus minutus (Linnaeus, 1766);Blongios nain, Butor blongios;Ixobrychus minutus (Linnaeus, 1766);Animalia;Chordés;Oiseaux;Autres;Aves;Pelecaniformes;Ardeidae;SSES;1;;0;0;;;ADENA;ADENA;Agde;POINT(3.5047529 43.3170654);3.5047529;43.3170654;GB6;;;;;;Comptage total.;;;serena_bagnas;10e11051-100c-4bce-9486-a06c7a19b2d6;15;ADENA Bagnas;d9d88ed6-ad45-4244-b745-de1a8dbba630;7;;;;;;;;;;;;;;;;;;;Non sensible - Diffusion précise;;;;;;;;20414;514596ef-e3fd-4517-9719-8ed84dba45e2;;22/03/2023 15:50;21/01/2025 17:31;ComptageHebdo
15836;23/06/2000;23/06/2000;00:00:00;00:00:00;2477;2477;Ixobrychus minutus (Linnaeus, 1766);Blongios nain, Butor blongios;Ixobrychus minutus (Linnaeus, 1766);Animalia;Chordés;Oiseaux;Autres;Aves;Pelecaniformes;Ardeidae;SSES;1;;0;0;;;ADENA;ADENA;Agde;POINT(3.5047529 43.3170654);3.5047529;43.3170654;GB6;;;;;;Comptage total.;;;serena_bagnas;10e11051-100c-4bce-9486-a06c7a19b2d6;15;ADENA Bagnas;d9d88ed6-ad45-4244-b745-de1a8dbba630;7;;;;;;;;;;;;;;;;;;;Non sensible - Diffusion précise;;;;;;;;20082;843995b1-cddd-4931-a917-497c40162383;;22/03/2023 15:50;21/01/2025 17:31;ComptageHebdo
21004;31/05/2002;31/05/2002;00:00:00;00:00:00;2477;2477;Ixobrychus minutus (Linnaeus, 1766);Blongios nain, Butor blongios;Ixobrychus minutus (Linnaeus, 1766);Animalia;Chordés;Oiseaux;Autres;Aves;Pelecaniformes;Ardeidae;SSES;1;;0;0;;;ADENA;ADENA;Agde;POINT(3.5173487 43.3291641);3.5173487;43.3291641;GB1;;;;;;;;;serena_bagnas;10e11051-100c-4bce-9486-a06c7a19b2d6;15;ADENA Bagnas;d9d88ed6-ad45-4244-b745-de1a8dbba630;7;;;;;;;;;;;;;;;;;;;Non sensible - Diffusion précise;;;;;;;;29223;9016e5a2-c242-4cf2-8e48-34165dc554f6;;22/03/2023 16:04;21/01/2025 17:31;ComptageHebdo
21559;07/08/2003;07/08/2003;00:00:00;00:00:00;2477;2477;Ixobrychus minutus (Linnaeus, 1766);Blongios nain, Butor blongios;Ixobrychus minutus (Linnaeus, 1766);Animalia;Chordés;Oiseaux;Autres;Aves;Pelecaniformes;Ardeidae;SSES;1;;0;0;;;ADENA;ADENA;Agde;POINT(3.5173487 43.3291641);3.5173487;43.3291641;GB1;;;;;;;;;serena_bagnas;10e11051-100c-4bce-9486-a06c7a19b2d6;15;ADENA Bagnas;d9d88ed6-ad45-4244-b745-de1a8dbba630;7;;;;;;;;;;;;;;;;;;;Non sensible - Diffusion précise;;;;;;;;33708;fa4b3ce5-097e-49aa-9af8-d2c39baa3a21;;22/03/2023 16:04;21/01/2025 17:31;ComptageHebdo
22741;14/08/2003;14/08/2003;00:00:00;00:00:00;2477;2477;Ixobrychus minutus (Linnaeus, 1766);Blongios nain, Butor blongios;Ixobrychus minutus (Linnaeus, 1766);Animalia;Chordés;Oiseaux;Autres;Aves;Pelecaniformes;Ardeidae;SSES;1;;0;0;;;ADENA;ADENA;Agde;POINT(3.5047529 43.3170654);3.5047529;43.3170654;GB6;;;;;;;;;serena_bagnas;10e11051-100c-4bce-9486-a06c7a19b2d6;15;ADENA Bagnas;d9d88ed6-ad45-4244-b745-de1a8dbba630;7;;;;;;;;;;;;;;;;;;;Non sensible - Diffusion précise;;;;;;;;33782;4a97c40f-0104-4210-bc09-66f8a6f91e97;;22/03/2023 16:04;21/01/2025 17:31;ComptageHebdo
22742;10/07/2003;10/07/2003;00:00:00;00:00:00;2477;2477;Ixobrychus minutus (Linnaeus, 1766);Blongios nain, Butor blongios;Ixobrychus minutus (Linnaeus, 1766);Animalia;Chordés;Oiseaux;Autres;Aves;Pelecaniformes;Ardeidae;SSES;1;;0;0;;;ADENA;ADENA;Agde;POINT(3.5047529 43.3170654);3.5047529;43.3170654;GB6;;;;;;;;;serena_bagnas;10e11051-100c-4bce-9486-a06c7a19b2d6;15;ADENA Bagnas;d9d88ed6-ad45-4244-b745-de1a8dbba630;7;;;;;;;;;;;;;;;;;;;Non sensible - Diffusion précise;;;;;;;;33448;a6d36447-2088-4f1b-ad69-76ea359e767d;;22/03/2023 16:04;21/01/2025 17:31;ComptageHebdo
23965;08/07/2004;08/07/2004;00:00:00;00:00:00;2477;2477;Ixobrychus minutus (Linnaeus, 1766);Blongios nain, Butor blongios;Ixobrychus minutus (Linnaeus, 1766);Animalia;Chordés;Oiseaux;Autres;Aves;Pelecaniformes;Ardeidae;SSES;1;;1;1;;;ADENA;ADENA;Agde;POINT(3.5157934 43.3249836);3.5157934;43.3249836;GB4;;;;;;;;;serena_bagnas;10e11051-100c-4bce-9486-a06c7a19b2d6;15;ADENA Bagnas;d9d88ed6-ad45-4244-b745-de1a8dbba630;7;;;;;;;;;;;;;;;;;;;Non sensible - Diffusion précise;;;;;;;;37406;27fec337-6a88-402a-be6e-f25381b76a2a;;22/03/2023 16:04;21/01/2025 17:31;ComptageHebdo
24526;19/07/2001;19/07/2001;00:00:00;00:00:00;2477;2477;Ixobrychus minutus (Linnaeus, 1766);Blongios nain, Butor blongios;Ixobrychus minutus (Linnaeus, 1766);Animalia;Chordés;Oiseaux;Autres;Aves;Pelecaniformes;Ardeidae;SSES;1;;0;0;;;ADENA;ADENA;Agde;POINT(3.5056181 43.320295);3.5056181;43.320295;GB7;;;;;;;;;serena_bagnas;10e11051-100c-4bce-9486-a06c7a19b2d6;15;ADENA Bagnas;d9d88ed6-ad45-4244-b745-de1a8dbba630;7;;;;;;;;;;;;;;;;;;;Non sensible - Diffusion précise;;;;;;;;24909;e5ebf16c-ae73-4154-8fca-62b15acf97ec;;22/03/2023 16:04;21/01/2025 17:31;ComptageHebdo
25109;19/07/2001;19/07/2001;00:00:00;00:00:00;2477;2477;Ixobrychus minutus (Linnaeus, 1766);Blongios nain, Butor blongios;Ixobrychus minutus (Linnaeus, 1766);Animalia;Chordés;Oiseaux;Autres;Aves;Pelecaniformes;Ardeidae;SSES;1;;0;0;;;ADENA;ADENA;Agde;POINT(3.523936 43.3257434);3.523936;43.3257434;GB2;;;;;;;;;serena_bagnas;10e11051-100c-4bce-9486-a06c7a19b2d6;15;ADENA Bagnas;d9d88ed6-ad45-4244-b745-de1a8dbba630;7;;;;;;;;;;;;;;;;;;;Non sensible - Diffusion précise;;;;;;;;24910;c7f488e4-82b9-4776-8443-a8485be2d8cc;;22/03/2023 16:04;21/01/2025 17:31;ComptageHebdo
